id,date,time,severity,casualties,number_of_casualties,number_of_vehicles,latitude,longitude
200001ZD00238,2000-02-26,22:45:00,fatal,Car occupant,4,2,51.318384,-0.126426
200001ZD00546,2000-05-27,06:30:00,fatal,Car occupant,Motorcycle rider/passenger,2,2,51.389702,-0.12107
200001ZD00669,2000-03-01,09:25:00,fatal,Motorcycle rider/passenger,1,2,51.332976,-0.139182
200001ZD00743,2000-06-24,13:04:00,fatal,Pedestrian,1,1,51.339732,-0.117371
200001ZD00892,2000-07-28,12:22:00,fatal,Car occupant,1,5,51.384849,-0.121269
200001ZD00950,2000-08-19,06:20:00,fatal,Car occupant,7,3,51.333869,-0.121918
200001ZD00975,2000-08-29,10:13:00,fatal,Pedestrian,1,1,51.335816,-0.114373
200001ZD01150,2000-09-30,05:30:00,fatal,Car occupant,2,1,51.413603,-0.092047
200001ZD01188,2000-10-12,12:30:00,fatal,Pedestrian,1,1,51.375287,-0.102693
200001ZD01211,2000-10-16,15:37:00,fatal,Pedestrian,1,1,51.409777,-0.089043
200001ZD01248,2000-10-19,12:30:00,fatal,Car occupant,2,1,51.335703,-0.052501
200001ZD01315,2000-11-04,09:11:00,fatal,Pedestrian,1,1,51.301615,-0.112619
200001ZP00047,2000-01-10,10:20:00,fatal,Car occupant,1,2,51.342882,-0.151416
200001ZP00116,2000-01-29,00:04:00,fatal,Pedestrian,1,1,51.368124,-0.195798
200001ZP00344,2000-04-14,21:25:00,fatal,Car occupant,2,5,51.36285,-0.16311
200001ZP00389,2000-05-01,01:39:00,fatal,Motorcycle rider/passenger,1,1,51.362664,-0.168432
200001ZP00498,2000-07-03,22:58:00,fatal,Motorcycle rider/passenger,1,2,51.363022,-0.15118
200001ZP00745,2000-10-29,20:20:00,fatal,Car occupant,Bus/coach/minibus occupant,2,3,51.381432,-0.195706
200001ZP00778,2000-11-15,19:30:00,fatal,Car occupant,Motorcycle rider/passenger,3,3,51.333796,-0.174177
200045EC00170,2000-06-17,09:08:00,fatal,Car occupant,Motorcycle rider/passenger,4,2,51.292454,-0.069248
200045EC00360,2000-11-19,20:24:00,fatal,Car occupant,8,2,51.316254,-0.083748
200045EZ00000,2000-09-12,17:12:00,fatal,Pedestrian,Motorcycle rider/passenger,2,1,51.333065,-0.268091
200045EZ00109,2000-07-03,14:10:00,fatal,Cyclist,1,2,51.308084,-0.174624
200045EZ00311,2000-12-16,14:35:00,fatal,Motorcycle rider/passenger,1,2,51.331901,-0.244306
200101BS00163,2001-03-07,16:19:00,fatal,Pedestrian,Car occupant,2,2,51.519205,-0.207706
200101BS00291,2001-04-19,20:04:00,fatal,Pedestrian,1,1,51.491724,-0.192506
200101BS00355,2001-05-07,16:50:00,fatal,Pedestrian,1,1,51.497278,-0.167939
200101BS00393,2001-05-22,13:05:00,fatal,Cyclist,1,2,51.490546,-0.186071
